C	area	id	hourly
	VARIABLES	BEGIN	END
	58	1	8736

C	hourly				OP. COST	OP. COST	MRG. PRICE	MRG. PRICE	BALANCE	BALANCE	LOAD	LOAD	H. ROR	H. ROR	WIND	WIND	SOLAR	SOLAR	NUCLEAR	NUCLEAR	LIGNITE	LIGNITE	COAL	COAL	GAS	GAS	OIL	OIL	MIX. FUEL	MIX. FUEL	MISC. DTG	MISC. DTG	H. STOR	H. STOR	H. PUMP	H. PUMP	H. LEV	H. LEV	H. INFL	H. INFL	H. OVFL	H. OVFL	H. VAL	H. VAL	H. COST	H. COST	UNSP. ENRG	UNSP. ENRG	SPIL. ENRG	SPIL. ENRG	LOLD	LOLD	AVL DTG	AVL DTG	DTG MRG	DTG MRG	MAX MRG	MAX MRG	NP COST	NP COST	NODU	NODU
					Euro	Euro	Euro	Euro	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	%	%	MWh	MWh	%	%	Euro/MWh	Euro/MWh	Euro	Euro	MWh	MWh	MWh	MWh	Hours	Hours	MWh	MWh	MWh	MWh	MWh	MWh	Euro	Euro	 	 
	index	day	month	hour	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max
	54	03	JAN	05:00	1	7	1	7	1	1	6	7	1	4	1	1	1	1	1	1	1	2	1	1	1	1	1	7	1	3	1	1	1	6	1	1	1	4	1	4	1	1	1	2	1	6	1	1	1	1	1	1	9	2	1	6	1	4	1	1	1	7
	55	03	JAN	06:00	1	3	1	7	1	1	9	7	1	4	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	3	1	1	1	4	1	1	1	4	1	4	1	1	1	2	1	2	1	1	1	1	1	1	9	2	1	4	1	4	1	1	1	2
	56	03	JAN	07:00	1	2	1	7	1	1	9	7	1	4	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	3	1	1	1	7	1	1	1	4	1	4	1	1	1	2	1	7	1	1	1	1	1	1	9	2	1	8	1	4	1	1	1	2
	57	03	JAN	08:00	1	2	1	7	1	1	9	7	1	4	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	3	1	1	1	8	1	1	1	4	1	4	1	1	1	2	1	8	1	1	1	1	1	1	9	2	1	8	1	4	1	1	1	2
	58	03	JAN	09:00	1	2	1	7	1	1	9	7	1	4	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	3	1	1	1	4	1	1	1	4	1	4	1	1	1	2	1	8	1	1	1	1	1	1	9	2	1	8	1	4	1	1	1	2
	59	03	JAN	10:00	1	2	1	7	1	1	9	7	1	4	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	3	1	1	1	7	1	1	1	4	1	4	1	1	1	2	1	7	1	1	1	1	1	1	9	2	1	6	1	4	1	1	1	2
	60	03	JAN	11:00	1	2	1	7	1	1	9	7	1	4	1	1	1	1	1	1	1	2	1	1	1	1	1	7	1	3	1	1	1	7	1	1	1	4	1	4	1	1	1	2	1	7	1	1	1	1	1	1	9	2	1	8	1	4	1	1	1	2
	61	03	JAN	12:00	1	2	1	7	1	1	9	7	1	4	1	1	1	1	1	1	1	2	1	1	1	1	1	7	1	6	1	1	1	3	1	1	1	4	1	4	1	1	1	2	1	3	1	1	1	1	1	1	9	2	1	8	1	4	1	1	1	2
	62	03	JAN	13:00	1	7	1	7	1	1	9	7	1	4	1	1	1	1	1	1	1	2	1	1	1	1	1	7	1	3	1	1	1	4	1	1	1	4	1	4	1	1	1	2	1	4	1	1	1	1	1	1	9	2	1	4	1	4	1	1	1	7
	63	03	JAN	14:00	1	7	1	7	1	1	9	7	1	4	1	1	1	1	1	1	1	2	1	1	1	1	1	7	1	3	1	1	1	3	1	1	1	4	1	4	1	1	1	2	1	3	1	1	1	1	1	1	9	2	1	8	1	4	1	1	1	7
