C	area	de	hourly
	VARIABLES	BEGIN	END
	9	1	8736

C	hourly				BASE	INT	PEAK	BASE	INT	PEAK	BASE	INT	PEAK
					MWh	MWh	MWh	NP Cost - Euro	NP Cost - Euro	NP Cost - Euro	NODU	NODU	NODU
	index	day	month	hour	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP
	262	11	JAN	21:00	39750	26035	3278	0	0	0	40	27	3
	263	11	JAN	22:00	39750	26106	2243	0	0	0	40	27	3
	264	11	JAN	23:00	39750	23777	1845	0	0	0	40	27	2
	265	12	JAN	00:00	39333	22454	1176	0	0	0	39	27	1
	266	12	JAN	01:00	39333	23223	1249	0	0	0	39	27	1
	267	12	JAN	02:00	39333	23099	1173	0	0	0	39	27	1
	268	12	JAN	03:00	39333	22342	652	0	0	0	39	27	1
	269	12	JAN	04:00	39333	20968	1604	0	0	0	39	27	2
	270	12	JAN	05:00	39333	20576	1524	0	0	0	39	27	2
	271	12	JAN	06:00	39333	20158	1619	0	0	0	39	27	2
	272	12	JAN	07:00	39333	20588	1506	0	0	0	39	27	2
	273	12	JAN	08:00	39333	20234	1384	0	0	0	39	27	1
	274	12	JAN	09:00	39333	21221	1076	0	0	0	39	27	1
	275	12	JAN	10:00	39333	21718	1146	0	0	0	39	27	1
	276	12	JAN	11:00	39333	22282	1506	0	0	0	39	27	2
	277	12	JAN	12:00	39333	22887	1826	0	0	0	39	27	2
	278	12	JAN	13:00	39333	22058	1181	0	0	0	39	27	2
	279	12	JAN	14:00	39333	23558	1946	0	0	0	39	27	2
	280	12	JAN	15:00	39333	24047	1922	0	0	0	39	27	3
	281	12	JAN	16:00	39333	25475	2480	0	0	0	39	27	3
	282	12	JAN	17:00	39333	25710	2577	0	0	0	39	27	3
	283	12	JAN	18:00	39333	25207	2617	0	0	0	39	27	3
	284	12	JAN	19:00	39333	25026	2641	0	0	0	39	27	3
	285	12	JAN	20:00	39333	26338	1937	0	0	0	39	27	3
	286	12	JAN	21:00	39333	25167	2526	0	0	0	39	27	3
	287	12	JAN	22:00	39333	25058	1711	0	0	0	39	27	2
	288	12	JAN	23:00	39333	25809	1627	0	0	0	39	27	2
	289	13	JAN	00:00	39500	22203	457	0	0	0	39	27	1
	290	13	JAN	01:00	39500	20956	1172	0	0	0	39	27	1
	291	13	JAN	02:00	39500	20282	763	0	0	0	39	27	1
	292	13	JAN	03:00	39500	17725	387	0	0	0	39	27	0
	293	13	JAN	04:00	39500	17915	338	0	0	0	39	27	0
	294	13	JAN	05:00	39500	17198	0	0	0	0	39	27	0
	295	13	JAN	06:00	39500	16202	214	0	0	0	39	27	0
	296	13	JAN	07:00	39500	16285	197	0	0	0	39	27	0
	297	13	JAN	08:00	39500	17327	174	0	0	0	39	27	0
	298	13	JAN	09:00	39500	17334	189	0	0	0	39	27	0
	299	13	JAN	10:00	39500	17000	233	0	0	0	39	27	0
	300	13	JAN	11:00	39500	18890	407	0	0	0	39	27	1
	301	13	JAN	12:00	39500	18927	0	0	0	0	39	27	0
	302	13	JAN	13:00	39500	21053	435	0	0	0	39	27	1
	303	13	JAN	14:00	39500	22005	934	0	0	0	39	27	1
	304	13	JAN	15:00	39500	23471	916	0	0	0	39	27	1
	305	13	JAN	16:00	39500	24241	697	0	0	0	39	27	1
	306	13	JAN	17:00	39500	24197	747	0	0	0	39	27	1
	307	13	JAN	18:00	39500	25026	1253	0	0	0	39	27	1
	308	13	JAN	19:00	39500	25012	981	0	0	0	39	27	1
	309	13	JAN	20:00	39500	23575	1414	0	0	0	39	27	2
	310	13	JAN	21:00	39500	24249	741	0	0	0	39	27	1
	311	13	JAN	22:00	39500	23440	220	0	0	0	39	27	1
	312	13	JAN	23:00	39500	23368	880	0	0	0	39	27	1
	313	14	JAN	00:00	39583	20763	260	0	0	0	40	27	0
	314	14	JAN	01:00	39583	20857	145	0	0	0	40	27	0
	315	14	JAN	02:00	39583	19199	15	0	0	0	40	27	0
	316	14	JAN	03:00	39583	17095	0	0	0	0	40	27	0
	317	14	JAN	04:00	39583	17034	0	0	0	0	40	27	0
	318	14	JAN	05:00	39583	15895	0	0	0	0	40	27	0
	319	14	JAN	06:00	39583	15699	0	0	0	0	40	27	0
	320	14	JAN	07:00	39583	15606	0	0	0	0	40	27	0
	321	14	JAN	08:00	39583	16109	0	0	0	0	40	27	0
	322	14	JAN	09:00	39583	16507	0	0	0	0	40	27	0
	323	14	JAN	10:00	39583	16923	0	0	0	0	40	27	0
	324	14	JAN	11:00	39583	18271	0	0	0	0	40	27	0
	325	14	JAN	12:00	39583	18612	0	0	0	0	40	27	0
	326	14	JAN	13:00	39583	20772	0	0	0	0	40	27	0
	327	14	JAN	14:00	39583	21574	271	0	0	0	40	27	0
	328	14	JAN	15:00	39583	21912	432	0	0	0	40	27	1
	329	14	JAN	16:00	39583	23030	410	0	0	0	40	27	0
	330	14	JAN	17:00	39583	24133	649	0	0	0	40	27	1
	331	14	JAN	18:00	39583	22988	487	0	0	0	40	27	1
	332	14	JAN	19:00	39583	24189	61	0	0	0	40	27	0
	333	14	JAN	20:00	39583	24196	625	0	0	0	40	27	1
	334	14	JAN	21:00	39583	24313	351	0	0	0	40	27	0
	335	14	JAN	22:00	39583	22562	311	0	0	0	40	27	0
	336	14	JAN	23:00	39583	20163	441	0	0	0	40	26	1
	337	15	JAN	00:00	39417	23122	0	0	0	0	39	26	0
	338	15	JAN	01:00	39417	22240	0	0	0	0	39	26	0
	339	15	JAN	02:00	39417	20224	0	0	0	0	39	26	0
	340	15	JAN	03:00	39417	20100	0	0	0	0	39	26	0
	341	15	JAN	04:00	39417	19108	0	0	0	0	39	26	0
	342	15	JAN	05:00	39417	17854	0	0	0	0	39	26	0
	343	15	JAN	06:00	39417	17169	0	0	0	0	39	26	0
	344	15	JAN	07:00	39417	17671	0	0	0	0	39	26	0
	345	15	JAN	08:00	39417	16057	0	0	0	0	39	26	0
	346	15	JAN	09:00	39417	18286	0	0	0	0	39	26	0
	347	15	JAN	10:00	39417	17977	0	0	0	0	39	26	0
	348	15	JAN	11:00	39417	20718	82	0	0	0	39	26	0
	349	15	JAN	12:00	39417	20985	0	0	0	0	39	26	0
	350	15	JAN	13:00	39417	21379	205	0	0	0	39	26	0
	351	15	JAN	14:00	39417	22677	69	0	0	0	39	26	0
	352	15	JAN	15:00	39417	22490	0	0	0	0	39	26	0
	353	15	JAN	16:00	39417	24804	0	0	0	0	39	26	0
	354	15	JAN	17:00	39417	24096	20	0	0	0	39	27	0
	355	15	JAN	18:00	39417	25204	82	0	0	0	39	27	0
	356	15	JAN	19:00	39417	23840	547	0	0	0	39	27	1
	357	15	JAN	20:00	39417	24620	470	0	0	0	39	27	1
	358	15	JAN	21:00	39417	23840	444	0	0	0	39	27	1
	359	15	JAN	22:00	39417	24036	164	0	0	0	39	27	0
	360	15	JAN	23:00	39417	23694	0	0	0	0	39	27	0
	361	16	JAN	00:00	39167	25613	545	0	0	0	39	27	1
	362	16	JAN	01:00	39167	24237	372	0	0	0	39	27	0
	363	16	JAN	02:00	39167	23645	252	0	0	0	39	27	0
	364	16	JAN	03:00	39167	23433	0	0	0	0	39	27	0
	365	16	JAN	04:00	39167	22746	0	0	0	0	39	27	0
	366	16	JAN	05:00	39167	22650	0	0	0	0	39	27	0
	367	16	JAN	06:00	39167	20949	0	0	0	0	39	27	0
