block,component,output,absolute_time_index,block_time_index,scenario_index,value,basis_status
0,area,unsupplied_energy,43,43,0,0,None
0,area,spilled_energy,43,43,0,0,None
0,default,generation_power,44,44,0,0,None
0,area,unsupplied_energy,44,44,0,0,None
0,area,spilled_energy,44,44,0,0,None
0,default,generation_power,45,45,0,0,None
0,area,unsupplied_energy,45,45,0,0,None
0,area,spilled_energy,45,45,0,0,None
0,default,generation_power,46,46,0,0,None
0,area,unsupplied_energy,46,46,0,0,None
0,area,spilled_energy,46,46,0,0,None
0,default,generation_power,47,47,0,0,None
0,area,unsupplied_energy,47,47,0,0,None
0,area,spilled_energy,47,47,0,0,None
0,default,generation_power,48,48,0,0,None
0,area,unsupplied_energy,48,48,0,0,None
0,area,spilled_energy,48,48,0,0,None
0,default,generation_power,49,49,0,0,None
0,area,unsupplied_energy,49,49,0,0,None
0,area,spilled_energy,49,49,0,0,None
0,default,generation_power,50,50,0,0,None
0,area,unsupplied_energy,50,50,0,0,None
0,area,spilled_energy,50,50,0,0,None
0,default,generation_power,51,51,0,0,None
0,area,unsupplied_energy,51,51,0,0,None
0,area,spilled_energy,51,51,0,0,None
0,default,generation_power,52,52,0,0,None
0,area,unsupplied_energy,52,52,0,0,None
0,area,spilled_energy,52,52,0,0,None
0,default,generation_power,53,53,0,0,None
0,area,unsupplied_energy,53,53,0,0,None
0,area,spilled_energy,53,53,0,0,None
0,default,generation_power,54,54,0,0,None
0,area,unsupplied_energy,54,54,0,0,None
0,area,spilled_energy,54,54,0,0,None
0,default,generation_power,55,55,0,0,None
0,area,unsupplied_energy,55,55,0,0,None
0,area,spilled_energy,55,55,0,0,None
0,default,generation_power,56,56,0,0,None
0,area,unsupplied_energy,56,56,0,0,None
0,area,spilled_energy,56,56,0,0,None
0,default,generation_power,57,57,0,0,None
0,area,unsupplied_energy,57,57,0,0,None
0,area,spilled_energy,57,57,0,0,None
0,default,generation_power,58,58,0,0,None
0,area,unsupplied_energy,58,58,0,0,None
0,area,spilled_energy,58,58,0,0,None
0,default,generation_power,59,59,0,0,None
0,area,unsupplied_energy,59,59,0,0,None
0,area,spilled_energy,59,59,0,0,None
0,default,generation_power,60,60,0,0,None
0,area,unsupplied_energy,60,60,0,0,None
0,area,spilled_energy,60,60,0,0,None
0,default,generation_power,61,61,0,0,None
0,area,unsupplied_energy,61,61,0,0,None
0,area,spilled_energy,61,61,0,0,None
0,default,generation_power,62,62,0,0,None
0,area,unsupplied_energy,62,62,0,0,None
0,area,spilled_energy,62,62,0,0,None
0,default,generation_power,63,63,0,0,None
0,area,unsupplied_energy,63,63,0,0,None
0,area,spilled_energy,63,63,0,0,None
0,default,generation_power,64,64,0,0,None
0,area,unsupplied_energy,64,64,0,0,None
0,area,spilled_energy,64,64,0,0,None
0,default,generation_power,65,65,0,0,None
0,area,unsupplied_energy,65,65,0,0,None
0,area,spilled_energy,65,65,0,0,None
0,default,generation_power,66,66,0,0,None
0,area,unsupplied_energy,66,66,0,0,None
0,area,spilled_energy,66,66,0,0,None
0,default,generation_power,67,67,0,0,None
0,area,unsupplied_energy,67,67,0,0,None
0,area,spilled_energy,67,67,0,0,None
0,default,generation_power,68,68,0,0,None
0,area,unsupplied_energy,68,68,0,0,None
0,area,spilled_energy,68,68,0,0,None
0,default,generation_power,69,69,0,0,None
0,area,unsupplied_energy,69,69,0,0,None
0,area,spilled_energy,69,69,0,0,None
0,default,generation_power,70,70,0,0,None
0,area,unsupplied_energy,70,70,0,0,None
0,area,spilled_energy,70,70,0,0,None
0,default,generation_power,71,71,0,0,None
0,area,unsupplied_energy,71,71,0,0,None
0,area,spilled_energy,71,71,0,0,None
0,default,generation_power,72,72,0,0,None
0,area,unsupplied_energy,72,72,0,0,None
0,area,spilled_energy,72,72,0,0,None
0,default,generation_power,73,73,0,0,None
0,area,unsupplied_energy,73,73,0,0,None
0,area,spilled_energy,73,73,0,0,None
0,default,generation_power,74,74,0,0,None
0,area,unsupplied_energy,74,74,0,0,None
0,area,spilled_energy,74,74,0,0,None
0,default,generation_power,75,75,0,0,None
0,area,unsupplied_energy,75,75,0,0,None
0,area,spilled_energy,75,75,0,0,None
0,default,generation_power,76,76,0,0,None
0,area,unsupplied_energy,76,76,0,0,None
0,area,spilled_energy,76,76,0,0,None
0,default,generation_power,77,77,0,0,None
0,area,unsupplied_energy,77,77,0,0,None
0,area,spilled_energy,77,77,0,0,None
0,default,generation_power,78,78,0,0,None
0,area,unsupplied_energy,78,78,0,0,None
0,area,spilled_energy,78,78,0,0,None
0,default,generation_power,79,79,0,0,None
0,area,unsupplied_energy,79,79,0,0,None
0,area,spilled_energy,79,79,0,0,None
0,default,generation_power,80,80,0,0,None
0,area,unsupplied_energy,80,80,0,0,None
0,area,spilled_energy,80,80,0,0,None
0,default,generation_power,81,81,0,0,None
0,area,unsupplied_energy,81,81,0,0,None
0,area,spilled_energy,81,81,0,0,None
0,default,generation_power,82,82,0,0,None
0,area,unsupplied_energy,82,82,0,0,None
0,area,spilled_energy,82,82,0,0,None
0,default,generation_power,83,83,0,0,None
0,area,unsupplied_energy,83,83,0,0,None
0,area,spilled_energy,83,83,0,0,None
0,default,generation_power,84,84,0,0,None
0,area,unsupplied_energy,84,84,0,0,None
0,area,spilled_energy,84,84,0,0,None
0,default,generation_power,85,85,0,0,None
0,area,unsupplied_energy,85,85,0,0,None
0,area,spilled_energy,85,85,0,0,None
0,default,generation_power,86,86,0,0,None
0,area,unsupplied_energy,86,86,0,0,None
0,area,spilled_energy,86,86,0,0,None
0,default,generation_power,87,87,0,0,None
0,area,unsupplied_energy,87,87,0,0,None
0,area,spilled_energy,87,87,0,0,None
0,default,generation_power,88,88,0,0,None
0,area,unsupplied_energy,88,88,0,0,None
0,area,spilled_energy,88,88,0,0,None
0,default,generation_power,89,89,0,0,None
0,area,unsupplied_energy,89,89,0,0,None
0,area,spilled_energy,89,89,0,0,None
0,default,generation_power,90,90,0,0,None
0,area,unsupplied_energy,90,90,0,0,None
0,area,spilled_energy,90,90,0,0,None
0,default,generation_power,91,91,0,0,None
0,area,unsupplied_energy,91,91,0,0,None
0,area,spilled_energy,91,91,0,0,None
0,default,generation_power,92,92,0,0,None
0,area,unsupplied_energy,92,92,0,0,None
0,area,spilled_energy,92,92,0,0,None
0,default,generation_power,93,93,0,0,None
0,area,unsupplied_energy,93,93,0,0,None
0,area,spilled_energy,93,93,0,0,None
0,default,generation_power,94,94,0,0,None
0,area,unsupplied_energy,94,94,0,0,None
0,area,spilled_energy,94,94,0,0,None
0,default,generation_power,95,95,0,0,None
0,area,unsupplied_energy,95,95,0,0,None
0,area,spilled_energy,95,95,0,0,None
0,default,generation_power,96,96,0,0,None
0,area,unsupplied_energy,96,96,0,0,None
