1595	605	256	3327	780	2380	355	3730	1571	3449	1356	1775	3122	1046	366	322	215	628	2983	379	1450	697	794	494	878	2603	1073	197	3155	959	308	121	834	1963
1768	698	233	3876	821	2560	294	3802	1576	3317	1393	1679	3065	833	444	367	200	685	3089	302	1558	909	878	553	846	3183	1108	178	3246	1078	309	103	769	1869
2024	769	226	4292	851	2635	267	3880	1620	3157	1466	1685	2842	712	498	421	192	793	3237	266	1677	1191	979	609	871	3676	1216	182	3440	1195	318	101	751	1682
2220	814	201	4380	978	2631	266	3903	1649	2901	1576	1683	2626	578	594	447	183	895	3427	239	1655	1546	973	645	956	3688	1314	175	3368	1296	310	95	704	1464
2663	870	145	4334	1078	2564	282	3809	1713	2624	1710	1742	2512	485	677	476	186	983	3632	236	1630	1781	966	648	999	3654	1400	191	3331	1464	285	98	677	1341
3069	954	73	4161	1070	2466	300	3664	1795	2405	1844	1794	2483	448	778	460	194	1070	3768	234	1675	1774	1002	660	996	3599	1444	264	3327	1625	267	116	689	1305
3101	1019	19	3990	959	2418	333	3555	1822	2280	1966	1862	2398	447	880	397	194	1148	3890	208	1940	1761	963	661	957	3153	1428	341	3144	1639	268	141	685	1308
3317	1057	6	4066	817	2356	391	3516	1818	2063	2102	1942	2305	474	874	395	205	1234	4041	180	2135	1875	1005	654	905	2533	1391	408	2848	1578	260	179	684	1343
3693	1033	8	4070	748	2295	462	3468	1772	1587	2192	2006	2163	500	905	411	206	1314	4202	166	2060	1916	1086	666	896	2303	1370	406	2919	1534	227	226	657	1379
3975	1012	6	3819	774	2245	529	3433	1750	1272	2242	2152	2080	482	968	428	207	1576	4402	171	1966	1935	1154	661	949	2246	1387	390	3151	1522	216	307	661	1449
4186	960	5	3602	775	2002	564	3454	1663	1059	2220	2405	2043	403	990	477	213	1894	4534	168	1817	1915	1273	628	1048	2158	1361	380	3154	1434	204	386	658	1560
4173	818	15	3625	646	1580	572	3445	1527	900	2127	2184	2012	340	976	462	189	1927	4529	130	1598	1832	1369	587	1161	2198	1346	283	3264	1393	140	349	629	1549
4010	706	59	3974	573	1311	608	3375	1469	809	2020	1924	2014	355	1026	429	198	1927	4474	101	1577	1775	1490	616	1234	2248	1394	210	4044	1402	91	260	648	1490
3922	597	96	4123	563	1211	698	3297	1410	743	1947	1739	2032	345	1146	469	239	2001	4432	110	1589	1744	1611	658	1210	2106	1305	187	4682	1341	70	223	620	1506
3793	466	111	4019	584	1155	829	3301	1349	671	1905	1604	2105	348	1190	503	289	2159	4373	133	1517	1825	1674	695	1188	1987	1205	171	4752	1311	61	216	566	1575
3474	348	111	3800	590	1160	935	3334	1287	606	1819	1511	2083	394	1157	402	352	2549	4284	163	1364	1993	1600	714	1227	1840	1243	164	4677	1327	63	220	535	1628
